 # New Simulation
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  8.412169213E+13  4.882148437E+20 -6.569804688E+20  4.219140625E+19  4.322067838E+36  4.821955500E+19  1.157364852E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  8.628557657E+13 -2.591757813E+20  6.931445313E+20  1.868476563E+20  1.653352646E+36  5.724953854E+19  3.025494539E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.042117808E+13  2.832851563E+20 -5.002695313E+20 -1.024648438E+20  2.369227024E+36  5.121100478E+19  2.111325488E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.253441823E+13 -6.961582031E+20 -2.923261719E+20 -1.295878906E+20  1.463345838E+36  5.123915565E+19  3.418337123E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.463028668E+13  4.038320312E+20  6.630078125E+19 -5.484882813E+20  8.485007499E+35  2.966436307E+20  5.895350597E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.673250885E+13 -4.882148437E+20  1.808203125E+19  9.041015625E+19  2.375346566E+36  4.821955500E+19  2.105886137E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.882676140E+13 -2.064365234E+20 -5.198583984E+20 -5.575292969E+19  1.465688570E+36  4.520215326E+19  3.412873311E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.009714466E+14  1.989023438E+20  2.712304687E+20 -4.219140625E+19  4.471109881E+36  4.821903040E+19  1.118784717E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.030207453E+14  4.399960938E+20 -7.534179687E+20 -1.024648438E+20  2.390976914E+36  5.121100478E+19  2.092119490E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.051342124E+14  3.797226563E+20  5.725976562E+20 -6.449257813E+20  1.558069228E+35  2.793550009E+20  3.210518064E+07  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.072372179E+14  2.365732422E+20  5.560224609E+20 -7.986230469E+19  1.563357412E+36  3.917040915E+19  3.199658225E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.093801737E+14 -3.164355469E+20 -7.202675781E+20 -1.295878906E+20  1.598586706E+36  6.329400083E+19  3.129144877E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.114540565E+14 -3.315039062E+19 -6.298574219E+20 -1.416425781E+20  1.583888979E+36  5.123873586E+19  3.158181834E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.136296855E+14 -1.597246094E+20 -7.383496094E+20  6.328710938E+19  1.768976308E+36  3.918153412E+19  2.827742452E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.156485116E+14 -1.416425781E+20  6.298574219E+20  9.041015625E+18  1.395744500E+36  3.315867373E+19  3.583900492E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.177439843E+14 -6.238300781E+20 -9.945117188E+19 -8.739648437E+19  1.724764338E+36  4.218836506E+19  2.900227754E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.198709902E+14 -1.235605469E+20  4.249277344E+20  9.041015625E+18  1.461404776E+36  3.315660544E+19  3.422877415E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.219863769E+14  7.383496094E+20 -2.019160156E+20  9.041015625E+18  1.407243531E+36  3.315980682E+19  3.554615311E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.240880852E+14 -2.561621094E+20 -4.671191406E+20 -1.054785156E+20  1.618686613E+36  1.175357304E+20  3.090288980E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.261623552E+14 -5.515019531E+20  3.767089844E+20 -1.175332031E+20  1.514647335E+36  4.821716519E+19  3.302557162E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.282595140E+14 -1.672587891E+20  1.883544922E+20 -2.260253906E+19  1.792382927E+36  3.616254612E+19  2.790815136E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.303516153E+14 -6.931445313E+20  1.747929687E+20  2.230117187E+20  1.637977379E+36  1.054739273E+20  3.053894068E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.324559206E+14  4.219140625E+19 -6.569804688E+20 -6.690351562E+20  1.022042721E+36  2.732232875E+20  4.894325160E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.366632326E+14  3.284902344E+20 -6.238300781E+20 -1.838339844E+20  1.616983500E+36  5.726218896E+19  3.093543875E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.387911381E+14  3.315039063E+20  6.208164063E+20  6.087617188E+20  1.563946762E+36  2.872168148E+20  3.198452482E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.408714371E+14 -1.506835937E+18  3.450654297E+20 -3.164355469E+19  1.569239939E+36  3.315023650E+19  3.187663835E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.429906841E+14 -7.036923828E+20 -2.908193359E+20 -4.068457031E+19  1.532670662E+36  5.123368461E+19  3.263720984E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.450726864E+14 -3.962978516E+20 -1.823271484E+20 -2.260253906E+19  1.428234567E+36  3.314984406E+19  3.502372452E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.471763835E+14  3.073945312E+20  2.591757812E+20 -3.676679688E+20  1.608970268E+36  1.778003435E+20  3.108950800E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.492799641E+14 -5.108173828E+20  7.398564453E+20  6.178027344E+19  1.753925826E+36  3.917393650E+19  2.852007382E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.513749645E+14  4.068457031E+20  4.189003906E+20  1.778066406E+20  1.601005839E+36  6.027039544E+19  3.124416713E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.534809618E+14  6.358847656E+20  6.419121094E+20 -6.931445312E+19  1.576398339E+36  3.918279112E+19  3.173188704E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
 # Simulation Res
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  1.555785064E+14  1.235605469E+20 -3.224628906E+20  4.520507812E+19  1.540320738E+36  3.616386352E+19  3.247511559E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.576814770E+14  1.506835938E+20  2.230117187E+20 -3.917773438E+20  1.577825652E+36  1.748002570E+20  3.170318213E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.597953994E+14  8.588964844E+19  3.330107422E+20  8.890332031E+19  1.567976390E+36  4.520400483E+19  3.190232605E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.618892776E+14  1.808203125E+19  5.424609375E+19 -2.953398438E+20  1.593211198E+36  9.043317540E+19  3.139702638E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.639882565E+14 -2.561621094E+20 -4.671191406E+20 -1.054785156E+20  1.644311539E+36  1.356162098E+20  3.042129963E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.660897467E+14  2.847919922E+20 -6.193095703E+20 -4.520507812E+18  1.740403711E+36  3.315091433E+19  2.874166132E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.681955400E+14 -6.795830078E+20  4.927353516E+20 -3.465722656E+19  1.769173801E+36  3.616466625E+19  2.827426791E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.724149089E+14  4.038320312E+20 -9.041015625E+19  1.145195312E+20  1.720062572E+36  4.821911284E+19  2.908155484E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.745034211E+14 -2.817783203E+20 -4.897216797E+20  1.099990234E+20  1.483296882E+36  3.315091433E+19  3.372358874E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.766124061E+14 -7.021855469E+20  3.224628906E+20  1.356152344E+20  1.547948964E+36  8.740049546E+19  3.231507963E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.787073151E+14  2.471210938E+20  2.832851563E+20  2.471210938E+20  1.549427616E+36  7.233209023E+19  3.228424065E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.808138533E+14 -3.073945312E+20 -3.013671875E+19 -5.846523437E+20  1.575051524E+36  2.159830665E+20  3.175902074E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
 # Simulation Res
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  1.829288914E+14  2.079433594E+20  5.756113281E+20 -1.356152344E+20  1.552094165E+36  1.024659515E+20  3.222877526E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.850207319E+14 -9.794433594E+19  7.127333984E+20 -6.178027344E+19  1.579125702E+36  3.616466625E+19  3.167708179E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.871182634E+14 -5.695839844E+20 -2.109570313E+19  1.838339844E+20  1.668821081E+36  8.137724647E+19  2.997450991E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.892298305E+14 -2.591757813E+20 -6.690351562E+20 -1.989023437E+20  1.507715649E+36  1.084932569E+20  3.317740588E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.913382951E+14 -6.178027344E+19  4.535576172E+20  6.479394531E+19  1.493147560E+36  5.123368461E+19  3.350110555E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.934354258E+14  6.886240234E+20 -3.993115234E+20  4.520507812E+18  1.513309473E+36  6.027180989E+19  3.305476831E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.955464511E+14  2.245185547E+20  7.549248047E+20 -1.506835937E+18  1.586732289E+36  3.315091433E+19  3.152522600E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.976444300E+14 -1.356152344E+19  4.716396484E+20  4.671191406E+19  1.511163552E+36  3.917817274E+19  3.310170760E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.997341685E+14  4.219140625E+19 -6.630078125E+19 -2.832851563E+20  1.724487434E+36  1.295793412E+20  2.900693449E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
